NR,STATION_URL,STATION_NAME
0,null,null
1,https://stream.palanga.live:8443/palanga128.mp3,PALANGA STREET RADIO
2,https://icecast.lyl.live/live,LYL RADIO
3,https://s3.radio.co/s216811754/listen,TIRKULTURA
4,nabamp0.latvijasradio.lv:8008,RADIO NABA
5,live.pieci.lv/live19-hq.mp3,LATVIJAS RADIO 5
6,listen-nme.sharp-stream.com/nme1.mp3,NME 1
7,listen-nme.sharp-stream.com/nme2.mp3,NME 2
8,live.pieci.lv/live7-hq.mp3,LR5 LATVIESI
9,stream.radiotev.lv:8002/radiov,RADIO TEV
10,skonto.datucentrs.eu/mp3,Radio Skonto
11,80.232.162.149:8000/gold96mp3,RADIO SWH GOLD
12,live.radionemiers.lv/nemiers.aac,NEMIERS
13,lr1mp1.latvijasradio.lv:8012,LATVIJAS RADIO 1
14,lr2mp1.latvijasradio.lv:8002,LATVIJAS RADIO 2
15,87.110.219.34:8000/swhmp3,RADIO SWH
16,87.110.219.34:8000/rockmp3,RADIO SWH ROCK
